iter	Passed	Remaining
660	1420	728
661	1422	726
662	1424	724
663	1426	721
664	1428	719
665	1430	717
666	1431	714
667	1433	712
668	1436	710
669	1438	708
670	1441	707
671	1444	704
672	1446	702
673	1448	700
674	1450	698
675	1453	696
676	1455	694
677	1457	692
678	1460	690
679	1461	687
680	1463	685
681	1465	683
682	1467	681
683	1469	678
684	1472	677
685	1475	675
686	1477	673
687	1479	671
688	1481	668
689	1483	666
690	1485	664
691	1488	662
692	1491	660
693	1494	659
694	1498	657
695	1500	655
696	1502	652
697	1503	650
698	1505	648
699	1507	646
700	1509	643
701	1511	641
702	1512	639
703	1515	637
704	1516	634
705	1518	632
706	1520	629
707	1521	627
708	1523	625
709	1525	623
710	1527	620
711	1529	618
712	1530	616
713	1532	613
714	1534	611
715	1536	609
716	1538	607
717	1539	604
718	1541	602
719	1544	600
720	1545	598
721	1547	595
722	1550	593
723	1553	592
724	1555	589
725	1557	587
726	1558	585
727	1560	583
728	1562	580
729	1564	578
730	1567	576
731	1568	574
732	1571	572
733	1572	570
734	1574	567
735	1576	565
736	1577	563
737	1579	560
738	1582	558
739	1584	556
740	1585	554
741	1587	552
742	1589	549
743	1591	547
744	1592	545
745	1595	543
746	1596	540
747	1598	538
748	1600	536
749	1602	534
750	1604	531
751	1606	529
752	1608	527
753	1610	525
754	1611	523
755	1613	520
756	1616	518
757	1617	516
758	1619	514
759	1621	512
760	1623	509
761	1625	507
762	1627	505
763	1628	503
764	1630	500
765	1632	498
766	1634	496
767	1636	494
768	1638	492
769	1640	489
770	1643	488
771	1646	486
772	1647	483
773	1649	481
774	1651	479
775	1653	477
776	1656	475
777	1658	473
778	1659	470
779	1661	468
780	1663	466
781	1665	464
782	1667	462
783	1669	459
784	1671	457
785	1672	455
786	1674	453
787	1676	451
788	1678	448
789	1680	446
790	1682	444
791	1684	442
792	1685	440
793	1687	437
794	1689	435
795	1691	433
796	1693	431
797	1695	429
798	1697	427
799	1699	424
800	1701	422
801	1703	420
802	1704	418
803	1706	416
804	1708	413
805	1710	411
806	1712	409
807	1714	407
808	1716	405
809	1718	403
810	1720	400
811	1722	398
812	1724	396
813	1729	395
814	1731	393
815	1733	390
816	1735	388
817	1737	386
818	1740	384
819	1742	382
820	1743	380
821	1745	377
822	1747	375
823	1749	373
824	1750	371
825	1752	369
826	1754	366
827	1755	364
828	1759	362
829	1760	360
830	1762	358
831	1764	356
832	1765	354
833	1768	351
834	1769	349
835	1771	347
836	1773	345
837	1774	343
838	1776	340
839	1779	339
840	1781	336
841	1784	334
842	1786	332
843	1787	330
844	1789	328
845	1791	326
846	1792	323
847	1794	321
848	1796	319
849	1798	317
850	1800	315
851	1802	313
852	1803	310
853	1805	308
854	1807	306
855	1808	304
856	1810	302
857	1812	299
858	1814	297
859	1815	295
860	1817	293
861	1819	291
862	1821	289
863	1823	287
864	1825	284
865	1827	282
866	1829	280
867	1830	278
868	1832	276
869	1834	274
870	1836	271
871	1838	269
872	1840	267
873	1842	265
874	1844	263
875	1845	261
876	1847	259
877	1849	257
878	1851	254
879	1855	252
880	1856	250
881	1858	248
882	1860	246
883	1862	244
884	1864	242
885	1865	240
886	1868	237
887	1870	235
888	1872	233
889	1874	231
890	1876	229
891	1877	227
892	1879	225
893	1881	223
894	1883	220
895	1885	218
896	1887	216
897	1889	214
898	1891	212
899	1894	210
900	1896	208
901	1898	206
902	1900	204
903	1901	201
904	1903	199
905	1905	197
906	1908	195
907	1910	193
908	1912	191
909	1914	189
910	1916	187
911	1918	185
912	1920	183
913	1922	180
914	1924	178
915	1925	176
916	1927	174
917	1929	172
918	1931	170
919	1933	168
920	1935	165
921	1937	163
922	1939	161
923	1941	159
924	1943	157
925	1945	155
926	1947	153
927	1948	151
928	1950	149
929	1952	146
930	1955	144
931	1957	142
932	1958	140
933	1960	138
934	1963	136
935	1965	134
936	1966	132
937	1968	130
938	1970	128
939	1972	125
940	1974	123
941	1976	121
942	1977	119
943	1979	117
944	1980	115
945	1982	113
946	1984	111
947	1986	108
948	1988	106
949	1990	104
950	1992	102
951	1994	100
952	1995	98
953	1997	96
954	2001	94
955	2002	92
956	2004	90
957	2006	87
958	2007	85
959	2009	83
960	2011	81
961	2013	79
962	2015	77
963	2020	75
964	2023	73
965	2032	71
966	2035	69
967	2037	67
968	2039	65
969	2043	63
970	2049	61
971	2053	59
972	2056	57
973	2059	54
974	2060	52
975	2062	50
976	2065	48
977	2069	46
978	2072	44
979	2074	42
980	2078	40
981	2080	38
982	2082	36
983	2085	33
984	2088	31
985	2090	29
986	2092	27
987	2095	25
988	2097	23
989	2098	21
990	2100	19
991	2101	16
992	2105	14
993	2107	12
994	2109	10
995	2111	8
996	2113	6
997	2115	4
998	2116	2
999	2118	0
